timestamp,x_uT,y_uT,z_uT
1772487719550,61.91,100.70,-463.20
1772487719588,62.01,100.81,-463.20
1772487719629,62.28,100.21,-463.20
1772487719669,62.45,99.86,-463.20
1772487719710,62.04,99.54,-463.20
1772487719752,61.57,99.49,-463.20
1772487719793,61.30,99.46,-463.20
1772487719835,61.20,100.24,-463.20
1772487719874,62.31,102.10,-463.20
1772487719916,62.97,103.21,-463.20
1772487719957,67.62,99.62,-463.20
1772487719999,70.42,97.47,-463.20
1772487720038,85.91,62.90,-463.20
1772487720079,93.93,32.56,-463.20
1772487720120,98.75,14.36,-463.20
1772487720162,102.07,30.67,-463.20
1772487720202,67.19,69.37,-463.20
1772487720243,46.27,92.59,-463.20
1772487720286,35.60,93.14,-343.57
1772487720326,29.20,93.47,-271.79
1772487720367,29.14,122.72,-348.35
1772487720408,79.44,88.53,-394.29
1772487720449,109.61,68.01,-421.85
1772487720490,120.81,34.50,-438.39
1772487720532,100.62,62.07,-448.31
1772487720571,88.51,78.61,-454.27
1772487720613,55.96,102.39,-457.84
1772487720653,36.44,116.65,-459.98
1772487720694,39.52,135.07,-461.27
1772487720736,-120.95,64.37,-462.04
1772487720777,-217.24,21.95,-462.50
1772487720818,-54.14,-20.77,-462.78
1772487720859,32.60,13.38,-462.95
1772487720900,84.64,33.86,-463.05
1772487720940,45.20,99.50,-463.11
1772487720982,21.55,138.89,-463.14
1772487721022,14.11,136.45,-350.88
1772487721064,24.93,158.66,-395.81
1772487721104,31.41,171.98,-422.76
1772487721145,89.46,99.39,-438.94
1772487721186,116.64,47.22,-448.64
1772487721227,132.96,15.92,-454.46
1772487721269,122.27,46.12,-457.96
1772487721310,115.86,64.24,-460.05
1772487721351,64.92,110.24,-461.31
1772487721392,34.76,125.11,-352.47
1772487721433,16.66,134.03,-287.17
1772487721474,21.15,169.31,-357.58
1772487721516,-131.98,61.57,-399.83
1772487721557,-223.85,-3.07,-425.18
1772487721597,-278.98,-39.16,-440.39
1772487721637,-312.05,-60.82,-449.51
1772487721679,-123.39,-22.25,-454.99
1772487721723,-86.81,76.38,-458.27
1772487721762,-64.86,135.56,-460.24
1772487721804,-41.58,135.76,-461.42
1772487721842,-23.65,171.29,-462.13
1772487721884,-12.89,192.61,-462.56
1772487721924,-152.40,111.66,-462.81
1772487721966,-236.11,63.09,-462.97
1772487722006,-286.33,3.88,-463.06
1772487722047,-316.46,-3.76,-463.12
1772487722088,-334.54,-8.34,-463.15
1772487722130,-345.39,-137.49,-463.17
1772487722170,-205.79,-214.98,-463.18
1772487722212,-122.03,-261.47,-463.19
1772487722253,-74.87,-102.32,-339.64
1772487722293,-46.57,-6.82,-265.51
1772487722335,0.81,-136.58,-344.59
1772487722376,-144.18,-214.43,-392.03
1772487722417,-231.17,-261.15,-420.50
1772487722457,-283.37,-183.97,-437.58
1772487722501,-104.65,-83.67,-447.83
1772487722539,2.58,-23.49,-453.97
1772487722582,-7.23,73.79,-457.66
1772487722621,-13.12,132.15,-459.88
1772487722663,-8.35,132.91,-342.19
1772487722704,-0.99,-52.74,-390.59
1772487722745,3.43,-164.13,-419.63
1772487722786,-142.61,-230.96,-437.06
1772487722827,-230.23,-162.23,-447.51
1772487722870,-282.80,-120.99,-453.79
1772487722909,-107.66,-52.06,-457.55
1772487722951,-2.57,-10.71,-459.81
1772487722991,-1.92,71.27,-461.17
1772487723032,3.09,83.11,-336.31
1772487723073,6.10,90.22,-261.39
1772487723114,2.01,117.35,-226.44
1772487723154,42.68,-62.07,-321.14
1772487723196,67.09,-169.73,-377.97
1772487723237,-104.41,-234.32,-412.06
1772487723278,-207.31,-273.08,-432.51
1772487723319,-269.05,-182.33,-444.79
1772487723360,-133.99,-23.78,-452.15
1772487723401,-52.95,71.36,-456.57
1772487723442,-36.00,101.16,-459.22
1772487723484,-21.87,110.86,-336.61
1772487723523,-13.38,116.69,-263.04
1772487723565,-8.12,-62.47,-343.10
1772487723606,-4.96,-169.97,-391.14
1772487723646,-147.64,-234.47,-419.96
1772487723687,-233.25,-166.51,-437.26
1772487723728,-284.61,-125.74,-447.63
1772487723769,-111.29,-85.82,-453.86
1772487723810,-66.79,31.29,-457.59
1772487723854,-40.09,101.56,-459.84
1772487723892,-18.72,94.56,-461.18
1772487723934,-5.90,90.36,-461.99
1772487723974,4.34,83.11,-333.98
1772487724017,-4.39,125.42,-278.52
1772487724056,-9.63,150.80,-245.25
1772487724099,-150.44,121.34,-332.43
1772487724138,-234.93,36.79,-384.74
1772487724179,-285.62,-13.94,-416.12
1772487724221,-316.04,24.93,-434.95
1772487724262,-334.29,48.25,-446.25
1772487724303,-219.82,-103.53,-453.03
1772487724344,-129.47,-194.61,-326.65
1772487724386,-75.26,-249.25,-250.82
1772487724425,-41.61,-113.56,-206.26
1772487724467,-44.10,-200.62,-212.38
1772487724507,-45.60,-252.86,-216.06
1772487724550,22.99,-284.20,-314.91
1772487724589,64.14,-303.01,-374.23
1772487724631,-106.18,-214.80,-409.82
