timestamp,x_uT,y_uT,z_uT
1772487230745,47.22,-23.83,69.18
1772487230784,47.60,-23.93,69.38
1772487230826,47.29,-23.63,69.22
1772487230867,47.10,-23.45,69.12
1772487230910,47.02,-23.27,69.15
1772487230949,46.98,-23.16,69.16
1772487230990,46.84,-23.53,68.92
1772487231032,46.69,-23.61,68.13
1772487231072,46.59,-23.66,67.65
1772487231115,46.90,-23.65,67.12
1772487231154,46.94,-23.50,67.87
1772487231196,46.96,-23.41,68.31
1772487231236,47.09,-23.57,67.76
1772487231278,47.16,-23.67,67.43
1772487231318,46.77,-23.44,67.72
1772487231360,46.97,-23.56,68.23
1772487231400,47.09,-23.63,68.53
1772487231442,46.80,-23.60,68.75
1772487231482,46.88,-23.90,67.62
1772487231523,46.93,-24.08,66.94
1772487231566,46.85,-23.51,67.76
1772487231606,46.80,-23.16,68.25
1772487231647,47.28,-23.42,68.62
1772487231687,47.13,-23.65,67.91
1772487231729,47.04,-23.79,67.48
1772487231769,47.06,-24.13,68.16
1772487231811,46.89,-24.19,67.71
1772487231850,46.79,-24.22,67.44
1772487231893,47.02,-24.31,67.24
1772487231935,47.16,-24.37,67.12
1772487231974,47.42,-24.40,67.70
1772487232016,47.36,-23.95,67.52
1772487232056,47.32,-23.68,67.41
1772487232098,47.30,-23.30,68.16
1772487232138,47.29,-23.61,68.45
1772487232180,47.28,-23.80,68.62
1772487232220,47.17,-23.92,68.97
1772487232262,47.10,-23.99,69.18
1772487232302,47.32,-23.85,69.43
1772487232344,47.26,-23.84,69.00
1772487232384,47.23,-23.83,68.75
1772487232426,47.25,-24.04,68.92
1772487232467,47.18,-24.10,69.19
1772487232507,47.15,-24.13,69.35
1772487232549,47.42,-24.04,68.14
1772487232590,47.58,-23.99,67.42
1772487232632,47.17,-23.63,67.88
1772487232671,47.36,-23.96,68.48
1772487232713,47.47,-24.15,68.85
1772487232753,47.17,-24.27,68.82
1772487232796,47.47,-24.20,68.96
1772487232835,47.64,-24.16,69.05
1772487232877,47.17,-24.02,69.06
1772487232917,46.88,-23.94,69.07
1772487232958,46.64,-23.74,68.91
1772487232999,47.07,-23.74,69.06
1772487233040,47.34,-23.74,69.15
1772487233082,46.87,-23.41,69.12
1772487233123,47.14,-23.64,68.99
1772487233164,47.31,-23.79,68.90
1772487233205,47.22,-23.58,67.99
1772487233246,47.17,-23.46,67.45
1772487233286,46.99,-23.27,67.78
1772487233328,47.00,-23.34,67.48
1772487233368,47.00,-23.39,67.31
1772487233409,47.40,-24.00,67.20
1772487233451,47.42,-23.82,67.95
1772487233491,47.43,-23.71,68.40
1772487233532,47.51,-23.86,68.76
1772487233573,47.56,-23.95,68.97
1772487233615,47.19,-23.72,68.32
1772487233656,46.79,-24.23,69.40
1772487233697,46.55,-24.54,70.05
1772487233737,46.58,-24.72,71.09
1772487233779,46.21,-25.71,71.67
1772487233819,45.98,-26.30,72.02
1772487233861,45.19,-27.41,75.50
1772487233901,44.71,-28.08,77.58
1772487233943,43.81,-29.07,81.04
1772487233983,42.36,-31.04,84.66
1772487234024,41.49,-32.23,86.84
1772487234065,39.36,-34.79,93.94
1772487234106,36.05,-39.09,105.75
1772487234150,34.07,-41.68,112.84
1772487234188,29.50,-47.81,127.62
1772487234231,26.75,-51.48,136.49
1772487234270,20.49,-60.85,157.04
1772487234312,8.66,-77.42,-72.96
1772487234351,1.56,-87.36,-210.96
1772487234392,-15.54,-112.49,-293.76
1772487234433,-43.69,-216.44,-343.44
1772487234476,-60.58,-278.81,-373.25
1772487234516,-101.07,-316.23,-391.13
1772487234558,-125.37,-338.68,-401.86
1772487234599,-224.17,-352.15,-276.67
1772487234639,-283.44,-360.24,-184.65
1772487234681,-319.01,-365.09,-129.44
1772487234721,-172.43,-224.40,-77.22
1772487234764,-90.29,-134.60,-46.37
1772487234803,-41.01,-80.72,-27.86
1772487234844,-24.64,-48.43,-17.00
1772487234884,-14.82,-29.06,-10.48
1772487234926,-8.89,-17.76,-6.33
1772487234967,-5.30,-10.51,-3.96
1772487235008,-3.14,-6.16,-2.54
1772487235050,-1.96,-3.84,-1.32
1772487235090,-1.17,-2.09,-0.75
1772487235131,-0.70,-1.03,-0.41
1772487235172,-0.42,-0.55,-0.17
1772487235214,-0.25,-0.26,-0.02
1772487235254,-0.44,-0.12,0.03
1772487235297,-0.52,-0.33,-0.02
1772487235336,-0.57,-0.45,-0.05
1772487235377,-0.38,-0.34,-0.07
1772487235419,0.03,-0.13,0.16
1772487235459,0.27,-0.01,0.30
1772487235500,-0.06,-0.15,0.26
1772487235541,-0.25,-0.23,0.24
1772487235582,-0.26,0.00,0.18
1772487235623,-0.23,0.07,0.23
1772487235665,-0.21,0.12,0.26
1772487235705,-0.42,0.18,0.12
1772487235747,-0.25,0.36,-0.09
1772487235788,-0.15,0.47,-0.22
1772487235829,-0.45,0.43,-0.34
1772487235869,-0.64,0.40,-0.41
1772487235910,-0.31,0.06,-0.12
1772487235953,-0.29,-0.04,-0.07
1772487235993,-0.28,-0.09,-0.04
1772487236032,0.01,0.05,-0.15
1772487236073,0.59,-0.11,-0.05
1772487236116,0.93,-0.21,0.01
1772487236157,0.74,-0.20,0.05
1772487236197,0.62,-0.19,0.07
1772487236239,0.01,-0.01,-0.04
1772487236280,-0.14,0.32,0.02
