timestamp,x_uT,y_uT,z_uT
1772487613727,58.47,94.66,1.47
1772487613767,57.94,94.53,1.81
1772487613807,57.62,94.45,2.01
1772487613849,58.20,94.36,2.33
1772487613889,58.54,94.31,2.53
1772487613930,59.18,94.07,2.11
1772487613971,62.92,92.13,1.21
1772487614012,65.16,90.97,0.67
1772487614053,71.84,85.66,-1.69
1772487614094,79.46,73.46,-7.97
1772487614137,84.02,66.13,-11.73
1772487614176,85.67,56.39,-16.19
1772487614218,86.66,50.55,-18.87
1772487614258,86.71,44.02,-22.23
1772487614301,87.03,36.77,-26.21
1772487614340,87.23,32.41,-28.60
1772487614383,88.65,24.74,-31.33
1772487614423,86.78,13.23,-32.90
1772487614464,85.65,6.32,-33.83
1772487614503,79.49,-1.45,-33.05
1772487614545,75.79,-6.12,-32.58
1772487614586,64.88,-11.44,-28.33
1772487614628,51.94,-11.53,-22.73
1772487614668,44.17,-11.59,-19.36
1772487614709,36.09,-6.53,-16.65
1772487614751,30.04,1.92,-15.64
1772487614791,26.41,6.99,-15.03
1772487614832,22.85,14.14,-15.24
1772487614873,20.72,18.44,-15.36
1772487614915,17.47,24.76,-15.19
1772487614955,12.54,34.51,-12.56
1772487614997,9.58,40.37,-10.98
1772487615037,10.21,51.51,-6.56
1772487615079,19.10,64.71,-3.25
1772487615119,24.43,72.63,-1.27
1772487615161,41.30,78.80,-1.06
1772487615202,51.42,82.50,-0.94
1772487615242,66.80,77.38,-5.84
1772487615285,77.82,67.18,-12.78
1772487615325,84.42,61.06,-16.95
1772487615368,88.10,51.71,-21.78
1772487615406,89.97,42.14,-26.27
1772487615449,91.10,36.40,-28.96
1772487615488,90.57,28.77,-31.39
1772487615530,90.26,24.19,-32.85
1772487615570,88.21,16.94,-33.80
1772487615611,84.41,7.89,-33.77
1772487615653,82.12,2.47,-33.74
1772487615693,76.86,-3.99,-32.55
1772487615735,67.23,-10.04,-29.58
1772487615775,61.45,-13.68,-27.80
1772487615817,52.79,-12.91,-25.76
1772487615858,47.59,-12.45,-24.53
1772487615901,40.57,-7.12,-23.35
1772487615940,33.75,1.17,-22.96
1772487615980,29.66,6.14,-22.73
1772487616022,26.11,13.05,-22.55
1772487616063,24.34,20.65,-22.97
1772487616103,23.28,25.21,-23.23
1772487616145,22.21,31.22,-23.70
1772487616185,21.57,34.83,-23.99
1772487616228,20.35,43.25,-21.75
1772487616269,23.07,55.61,-18.00
1772487616308,24.70,63.02,-15.75
1772487616351,36.44,71.14,-13.99
1772487616390,56.54,71.32,-16.49
1772487616433,68.60,71.43,-17.99
1772487616472,81.99,63.54,-21.38
1772487616514,90.01,58.80,-23.41
1772487616554,99.31,47.27,-24.06
1772487616596,101.10,32.13,-25.47
1772487616636,102.17,23.04,-26.32
1772487616678,99.69,11.30,-26.42
1772487616719,93.18,-2.50,-25.13
1772487616760,89.28,-10.79,-24.36
1772487616801,79.23,-18.56,-22.02
1772487616842,73.19,-23.22,-20.61
1772487616884,63.29,-23.40,-19.00
1772487616924,51.02,-19.15,-18.55
1772487616966,43.65,-16.59,-18.29
1772487617005,35.56,-8.88,-19.27
1772487617047,31.14,1.82,-21.45
1772487617087,28.49,8.24,-22.76
1772487617129,25.59,15.48,-23.92
1772487617169,23.85,19.82,-24.61
1772487617210,21.10,26.53,-25.97
1772487617252,16.07,37.40,-26.25
1772487617292,13.05,43.92,-26.41
1772487617336,12.54,61.39,-23.90
1772487617375,25.77,80.93,-20.77
1772487617416,33.70,92.65,-18.88
1772487617457,55.12,95.28,-19.55
1772487617499,67.97,96.87,-19.95
1772487617539,84.92,87.09,-19.41
