timestamp,x_uT,y_uT,z_uT
1772488030450,16.10,29.49,3.74
1772488030491,16.58,29.90,3.23
1772488030532,18.57,31.13,3.58
1772488030573,21.36,32.78,5.10
1772488030614,23.04,33.77,6.01
1772488030655,25.68,35.49,6.84
1772488030695,27.85,36.63,7.14
1772488030738,29.15,37.32,7.32
1772488030778,29.64,37.65,6.93
1772488030819,29.93,37.85,6.70
1772488030859,28.29,38.27,5.95
1772488030902,20.18,36.66,5.22
1772488030943,15.31,35.70,4.77
1772488030984,1.84,31.56,7.32
1772488031024,-14.75,25.80,13.59
1772488031064,-24.70,22.34,17.35
1772488031107,-33.07,17.61,22.34
1772488031147,-38.09,14.78,25.34
1772488031188,-41.36,14.02,26.56
1772488031230,-25.91,19.06,19.71
1772488031270,-16.63,22.08,15.59
1772488031310,-6.30,25.17,10.35
1772488031352,3.90,28.58,7.36
1772488031393,10.01,30.63,5.57
1772488031434,16.09,32.40,3.60
1772488031475,19.73,33.47,2.42
1772488031516,22.64,34.73,0.20
1772488031556,24.64,35.45,-1.83
1772488031597,25.84,35.88,-3.05
1772488031638,26.53,36.54,-4.18
1772488031679,26.90,36.46,-4.87
1772488031721,27.12,36.41,-5.28
1772488031761,27.33,36.35,-6.01
1772488031804,27.46,36.31,-6.45
1772488031844,27.86,36.83,-7.29
1772488031885,28.17,37.15,-7.58
1772488031926,28.36,37.33,-7.76
1772488031967,28.36,37.41,-8.36
1772488032012,28.77,37.82,-9.04
1772488032050,29.01,38.07,-9.45
1772488032089,29.73,38.65,-11.70
1772488032130,30.17,39.00,-13.05
1772488032172,32.69,40.45,-16.06
1772488032213,39.25,44.00,-27.26
