timestamp,x_uT,y_uT,z_uT
1772488210524,-6.89,7.96,16.64
1772488210563,-7.00,7.93,16.73
1772488210604,-7.07,7.91,16.79
1772488210645,-7.37,7.76,16.90
1772488210686,-7.33,8.06,16.52
1772488210726,-7.30,8.25,16.29
1772488210769,-7.29,8.07,16.48
1772488210809,-7.17,8.36,16.23
1772488210850,-7.10,8.53,16.08
1772488210891,-7.20,7.98,16.19
1772488210931,-7.26,7.65,16.26
1772488210974,-6.87,8.40,16.13
1772488211014,-6.70,8.56,16.22
1772488211056,-6.60,8.65,16.28
1772488211096,-6.94,8.60,16.60
1772488211138,-7.51,8.90,16.50
1772488211178,-7.85,9.08,16.44
1772488211220,-7.72,8.71,16.61
1772488211260,-7.65,8.49,16.72
1772488211301,-6.84,8.47,16.74
1772488211342,-6.28,8.93,16.22
1772488211383,-5.95,9.20,15.91
1772488211425,-4.19,9.95,14.62
1772488211465,-0.22,16.32,6.78
1772488211507,2.16,20.15,2.08
1772488211547,-12.88,52.51,-20.90
1772488211588,-21.91,71.93,-34.69
1772488211629,-65.18,103.37,-48.56
1772488211670,-113.21,120.34,-53.90
1772488211711,-142.04,130.52,-57.10
1772488211752,-151.51,136.45,-58.78
1772488211792,-113.16,126.52,-57.67
1772488211833,-90.15,120.56,-57.00
1772488211875,-52.67,87.67,-40.35
1772488211916,-30.18,67.94,-30.36
1772488211958,-17.92,46.83,-15.26
1772488211997,-12.42,32.45,-3.72
1772488212041,-9.13,23.82,3.21
1772488212080,-7.87,18.03,8.35
1772488212122,-7.48,14.41,11.67
1772488212161,-7.25,12.24,13.67
1772488212204,-7.51,10.89,14.99
1772488212244,-7.66,10.09,15.78
1772488212286,-7.83,9.21,16.46
1772488212326,-8.26,8.71,17.07
1772488212367,-8.51,8.42,17.44
1772488212407,-9.07,8.17,17.70
1772488212448,-9.11,8.20,17.45
1772488212490,-9.14,8.22,17.30
1772488212531,-9.44,8.05,17.45
1772488212572,-9.62,7.95,17.54
1772488212612,-9.48,7.89,17.76
1772488212655,-9.47,8.03,17.57
1772488212695,-9.46,8.12,17.45
1772488212736,-9.27,8.14,17.50
1772488212776,-9.09,8.40,17.74
1772488212819,-8.98,8.56,17.88
1772488212859,-8.94,8.25,17.88
1772488212899,-8.93,8.07,17.89
1772488212940,-8.41,8.14,18.05
1772488212982,-8.64,8.44,17.74
1772488213024,-8.78,8.62,17.56
