timestamp,x_uT,y_uT,z_uT
1772488127947,-152.04,49.26,-10.91
1772488127989,-160.86,35.18,4.65
1772488128030,-91.71,2.66,23.41
1772488128072,-49.31,-16.19,36.22
1772488128112,-23.88,-27.51,43.91
1772488128154,-53.70,19.38,7.62
1772488128194,-71.60,47.51,-14.15
1772488128235,-37.76,57.73,-26.72
1772488128275,-62.03,1.54,17.29
1772488128317,-76.60,-32.17,43.69
1772488128357,-78.07,-53.17,72.72
1772488128399,-37.89,-13.18,12.26
1772488128440,-13.79,10.81,-24.02
1772488128481,-90.23,-4.14,30.74
1772488128523,-136.10,-13.11,63.60
1772488128562,-88.45,-26.96,151.64
1772488128605,-55.58,-20.63,-31.41
1772488128645,-35.86,-16.82,-141.24
1772488128687,-67.54,0.48,-207.14
1772488128727,-50.12,27.51,-63.83
1772488128770,-39.67,43.73,22.16
1772488128808,-32.31,16.63,-2.53
1772488128850,-27.89,0.37,-17.34
1772488128890,-45.02,5.30,-5.94
1772488128932,-24.24,21.79,20.49
1772488128973,-11.78,31.68,36.34
1772488129014,-36.30,28.46,32.27
1772488129055,-37.81,6.78,11.90
1772488129096,-38.72,-6.23,-0.31
1772488129138,-22.79,19.38,28.32
1772488129177,-13.23,34.74,45.49
1772488129220,-41.43,28.18,39.27
1772488129259,-34.05,8.14,11.45
1772488129301,-29.63,-3.89,-5.24
1772488129341,-24.86,17.58,40.18
1772488129383,-75.61,28.00,67.10
1772488129424,-106.05,34.24,83.25
1772488129465,-74.43,21.74,-72.45
1772488129506,-55.45,14.23,-165.86
1772488129546,-40.83,-11.72,-221.91
1772488129590,-79.33,0.27,-126.56
1772488129628,-102.43,7.46,-69.35
1772488129671,-70.36,27.42,-56.29
1772488129712,-64.83,2.37,-16.70
1772488129752,-61.52,-12.66,7.05
1772488129792,-58.22,-23.24,20.61
1772488129835,-56.24,-29.59,28.75
1772488129874,-44.87,8.60,9.38
1772488129915,-45.90,-3.83,19.36
1772488129956,-46.52,-11.29,25.34
1772488129998,-33.18,-24.06,34.85
1772488130039,-29.07,17.59,-6.79
1772488130080,-26.60,42.58,-31.77
1772488130124,-62.10,21.50,-2.48
1772488130161,-83.41,8.86,15.10
1772488130204,-51.75,-9.35,56.13
1772488130244,-37.27,-9.00,2.30
1772488130286,-28.57,-8.79,-30.00
1772488130326,-46.34,5.59,17.12
1772488130367,-38.06,23.23,42.24
1772488130408,-33.08,33.82,57.32
1772488130449,-35.52,16.14,34.40
1772488130489,-36.98,5.53,20.65
1772488130531,-35.53,14.76,26.44
1772488130572,-26.59,21.61,29.06
1772488130613,-21.23,25.72,30.63
1772488130654,-23.28,14.55,23.17
1772488130695,-25.67,13.92,22.77
1772488130736,-27.11,13.54,22.53
1772488130776,-23.17,18.99,24.51
1772488130819,-20.81,22.25,25.70
1772488130859,-23.03,12.25,19.67
1772488130900,-30.83,13.63,21.00
1772488130941,-35.52,14.46,21.80
1772488130982,-20.65,25.87,32.89
1772488131023,-37.48,19.55,25.21
1772488131064,-47.57,15.75,20.61
1772488131105,-46.43,4.28,1.28
1772488131145,-45.75,-2.61,-10.32
1772488131189,-24.61,4.39,42.72
1772488131228,-26.69,-6.83,82.30
1772488131270,-27.94,-13.56,106.04
1772488131310,-22.25,9.20,25.47
1772488131351,-56.00,7.88,24.68
1772488131391,-76.25,7.08,24.21
1772488131432,-55.60,-13.18,34.58
1772488131473,-43.21,-25.33,40.80
1772488131515,-32.61,12.90,11.55
1772488131555,-48.91,13.51,12.00
1772488131597,-58.69,13.88,12.27
1772488131638,-65.57,-7.02,26.93
1772488131678,-35.34,21.67,-13.54
1772488131720,-17.20,38.88,-37.83
1772488131761,-63.11,10.48,12.09
1772488131802,-90.66,-6.56,42.04
1772488131842,-79.56,-0.52,107.89
1772488131884,-57.51,-14.10,42.21
1772488131924,-44.29,-22.25,2.81
1772488131966,-55.37,-0.71,27.53
1772488132006,-34.45,15.42,38.94
1772488132048,-21.90,25.10,45.78
1772488132089,-33.50,15.05,34.99
1772488132130,-40.46,9.02,28.52
1772488132171,-44.56,3.26,24.18
1772488132212,-25.10,6.31,37.75
1772488132253,-13.42,8.14,45.88
1772488132294,-8.63,19.27,50.15
1772488132335,-21.07,9.74,28.35
1772488132375,-28.53,4.02,15.27
1772488132417,-16.13,1.93,5.09
1772488132457,-8.69,0.67,-1.01
1772488132499,-3.83,6.39,-5.33
1772488132540,-14.15,18.55,-9.76
1772488132582,-20.34,25.85,-12.42
1772488132622,-21.62,4.96,12.19
1772488132663,-3.92,4.28,28.80
1772488132705,6.71,3.87,38.76
1772488132744,0.25,18.06,42.73
1772488132786,-3.63,26.57,45.12
1772488132827,-13.99,15.03,30.92
1772488132868,-8.03,3.52,16.48
1772488132909,-4.45,-3.39,7.82
1772488132951,3.22,2.83,-10.60
1772488132990,-17.99,-0.16,9.24
1772488133032,-30.72,-1.96,21.15
1772488133072,-24.86,-8.67,33.40
1772488133114,-21.35,-12.70,40.75
1772488133156,-6.70,-4.94,43.81
1772488133195,-7.25,8.34,41.44
1772488133239,-7.58,16.30,40.02
1772488133277,-16.14,10.64,23.74
1772488133319,-6.16,5.61,9.03
1772488133359,-0.17,2.59,0.21
