timestamp,x_uT,y_uT,z_uT
1772487814379,-2.30,1.93,-0.43
1772487814421,-3.38,3.22,-0.74
1772487814462,-3.95,4.58,-0.59
1772487814504,-4.18,4.81,-0.10
1772487814544,-4.33,4.95,0.20
1772487814587,-4.45,5.14,0.17
1772487814626,-4.41,5.47,0.03
1772487814669,-4.39,5.67,-0.05
1772487814708,-4.67,5.83,0.19
1772487814749,-4.83,5.92,0.33
1772487814789,-5.04,5.69,0.25
1772487814831,-4.80,5.55,-0.12
1772487814871,-4.66,5.47,-0.35
1772487814913,-4.65,5.31,-0.68
1772487814954,-5.11,5.39,-0.36
1772487814994,-5.39,5.45,-0.16
1772487815036,-4.91,5.44,-0.37
1772487815077,-4.61,5.44,-0.49
1772487815118,-4.76,5.58,-0.45
1772487815159,-4.71,5.74,-0.63
1772487815200,-4.68,5.83,-0.73
1772487815240,-4.77,5.78,-0.51
1772487815283,-4.20,5.31,-0.17
1772487815322,-3.86,5.03,0.04
1772487815364,-4.28,4.61,-0.09
1772487815404,-4.53,4.36,-0.16
1772487815446,-3.11,3.40,-0.29
1772487815487,6.39,-5.50,0.45
1772487815527,12.09,-10.84,0.89
1772487815569,26.82,-23.42,0.92
1772487815609,25.55,-22.79,1.71
1772487815650,24.79,-22.41,2.18
1772487815691,19.13,-17.17,1.81
1772487815734,15.73,-14.02,1.59
1772487815774,8.32,-7.40,1.05
1772487815817,3.25,-2.30,0.81
1772487815855,0.20,0.76,0.66
1772487815897,-1.91,2.74,0.20
1772487815937,-3.03,3.82,0.79
1772487815979,-3.71,4.46,1.14
1772487816020,-4.58,4.82,0.21
1772487816061,-5.11,5.03,-0.35
1772487816102,-5.24,5.26,-0.16
1772487816143,-5.47,5.29,0.12
1772487816184,-5.61,5.31,0.29
1772487816224,-5.25,5.18,-0.26
1772487816266,-4.38,4.62,-0.23
1772487816307,-3.86,4.29,-0.20
1772487816347,-2.75,3.00,0.05
1772487816388,-2.08,2.23,0.21
1772487816429,3.92,-4.64,2.02
1772487816470,22.76,-28.65,11.47
1772487816512,34.06,-43.05,17.14
1772487816553,43.28,-54.02,20.91
1772487816593,39.75,-49.99,20.27
1772487816635,37.63,-47.57,19.89
1772487816675,24.47,-30.33,12.64
1772487816720,16.58,-19.99,8.29
1772487816757,8.46,-10.00,4.62
1772487816800,3.22,-3.86,2.95
1772487816840,0.08,-0.18,1.94
1772487816880,-2.02,1.81,1.01
1772487816922,-3.17,3.19,0.50
1772487816963,-3.86,4.01,0.19
1772487817003,-4.31,4.43,0.21
1772487817045,-4.58,4.69,0.22
1772487817086,-4.67,5.13,-0.43
1772487817127,-4.66,5.03,-0.28
1772487817168,-4.64,4.97,-0.20
1772487817209,-5.15,5.01,0.10
1772487817250,-4.07,4.09,0.11
1772487817291,-3.42,3.53,0.12
1772487817333,2.03,-3.45,3.67
1772487817373,5.29,-7.65,5.81
1772487817413,24.78,-39.21,23.83
1772487817454,24.54,-36.45,20.72
1772487817495,24.40,-34.79,18.85
1772487817536,16.03,-22.15,12.47
1772487817577,8.20,-12.35,7.86
1772487817619,3.51,-6.48,5.10
1772487817660,0.03,-1.90,3.40
1772487817701,-2.05,0.85,2.38
1772487817741,-3.12,2.94,1.27
1772487817784,-3.58,3.82,0.82
1772487817823,-3.85,4.36,0.54
1772487817866,-4.53,5.12,0.38
1772487817905,-4.60,4.92,-0.33
1772487817947,-4.65,4.79,-0.76
1772487817988,-4.93,4.79,-0.48
1772487818029,-5.10,4.79,-0.32
1772487818072,-4.37,4.90,-0.22
1772487818111,-3.85,4.39,-0.20
1772487818154,-3.54,4.08,-0.19
1772487818192,0.49,0.66,-1.28
1772487818234,22.81,-11.58,-8.80
1772487818274,36.20,-18.92,-13.31
1772487818317,59.58,-34.16,-18.14
1772487818357,73.60,-43.31,-21.03
1772487818398,68.97,-44.00,-16.65
1772487818439,47.06,-30.88,-10.79
1772487818480,33.91,-23.01,-7.28
1772487818521,18.97,-12.25,-4.40
1772487818562,9.56,-5.14,-2.67
1772487818603,3.92,-0.88,-1.63
1772487818644,0.17,2.16,-1.13
1772487818686,-2.07,3.98,-0.83
1772487818725,-3.42,4.92,-0.81
1772487818769,-3.94,5.16,-0.60
1772487818807,-4.25,5.31,-0.47
1772487818849,-4.44,5.36,-0.06
1772487818889,-4.59,5.72,0.10
1772487818930,-4.68,5.93,0.19
1772487818971,-4.44,5.33,0.25
1772487819012,-4.29,4.97,0.29
1772487819054,-3.70,3.81,0.72
1772487819094,-0.18,-0.16,2.16
1772487819136,1.93,-2.54,3.02
1772487819176,10.69,-11.79,5.42
1772487819220,24.13,-24.97,5.26
1772487819258,32.19,-32.88,5.17
1772487819301,30.84,-31.77,5.61
1772487819341,30.03,-31.11,5.87
1772487819382,22.71,-24.75,7.04
1772487819422,13.05,-14.39,5.50
1772487819463,7.25,-8.17,4.58
1772487819504,2.35,-2.98,2.96
1772487819546,-0.51,0.42,1.71
1772487819587,-2.23,2.46,0.96
1772487819628,-3.23,3.65,0.05
1772487819669,-3.82,4.36,-0.49
1772487819709,-4.11,5.04,-0.32
1772487819751,-4.32,5.05,0.11
1772487819791,-4.44,5.06,0.36
1772487819833,-4.74,5.42,0.15
1772487819873,-5.02,5.54,-0.18
1772487819915,-5.19,5.60,-0.38
1772487819956,-5.04,5.57,-0.13
1772487819997,-4.95,5.55,0.02
1772487820037,-4.82,5.25,-0.31
1772487820078,-4.63,4.56,0.16
1772487820119,-4.52,4.15,0.43
