timestamp,x_uT,y_uT,z_uT
1772487299051,49.42,-40.73,44.76
1772487299091,49.62,-40.33,44.82
1772487299133,49.55,-40.60,44.65
1772487299173,49.51,-40.76,44.54
1772487299215,49.96,-40.93,43.91
1772487299257,50.23,-41.03,43.53
1772487299300,49.92,-40.65,43.43
1772487299338,50.17,-40.06,43.36
1772487299379,50.32,-39.71,43.33
1772487299419,50.12,-40.01,43.30
1772487299461,49.78,-40.04,43.09
1772487299501,49.58,-40.06,42.96
1772487299542,50.55,-39.89,42.83
1772487299585,51.13,-39.79,42.76
1772487299624,50.31,-39.29,43.08
1772487299665,50.22,-39.10,43.20
1772487299706,50.17,-38.99,43.27
1772487299749,49.74,-38.41,43.43
1772487299788,49.08,-37.92,43.52
1772487299829,48.68,-37.62,43.58
1772487299870,48.81,-38.14,44.35
1772487299912,48.89,-38.45,44.82
1772487299951,48.86,-38.41,44.69
1772487299994,49.14,-37.96,44.24
1772487300033,49.30,-37.68,43.97
1772487300075,48.89,-37.19,44.06
1772487300116,49.30,-37.15,43.95
1772487300157,49.54,-37.13,43.88
1772487300198,49.00,-37.00,44.12
1772487300239,48.67,-36.93,44.27
1772487300281,48.98,-36.92,44.32
1772487300321,49.28,-36.41,44.63
1772487300363,49.46,-36.10,44.82
1772487300403,49.64,-36.32,44.97
1772487300444,49.38,-35.83,45.27
1772487300484,49.23,-35.53,45.44
1772487300526,49.32,-35.18,45.51
1772487300567,49.37,-34.96,45.55
1772487300608,49.37,-35.23,45.78
1772487300650,49.73,-35.47,45.95
1772487300689,49.94,-35.61,46.06
1772487300732,49.86,-35.00,46.29
1772487300772,49.59,-35.00,46.63
1772487300814,49.42,-35.00,46.83
1772487300855,49.40,-34.78,47.08
1772487300895,49.38,-34.65,47.23
1772487300936,49.23,-34.90,47.44
1772487300978,49.61,-34.54,47.36
1772487301017,49.84,-34.32,47.31
1772487301059,49.54,-34.74,47.45
1772487301100,49.50,-34.77,47.65
1772487301141,49.48,-34.79,47.78
1772487301184,49.43,-34.62,47.81
1772487301223,49.40,-34.51,47.83
1772487301265,49.35,-34.02,48.01
1772487301305,49.47,-33.75,48.36
1772487301347,49.54,-33.60,48.57
1772487301387,49.29,-33.87,48.61
1772487301429,49.24,-35.01,49.16
1772487301469,49.22,-35.70,49.50
1772487301511,46.87,-41.89,51.66
1772487301550,45.47,-45.61,52.96
1772487301592,32.59,-71.11,62.96
1772487301633,-51.43,-191.61,-129.41
1772487301674,-101.84,-263.91,-244.83
1772487301715,-60.92,-307.29,-314.08
1772487301756,-27.72,-333.32,-209.47
1772487301797,-7.79,-348.93,-146.70
1772487301838,0.30,-358.30,-255.20
1772487301880,5.16,-363.93,-320.31
1772487301919,22.55,-367.30,-359.37
1772487301963,33.93,-216.71,-231.46
1772487302003,40.76,-126.35,-154.71
1772487302043,44.86,-77.56,-98.01
1772487302084,47.35,-50.35,-59.50
1772487302125,48.85,-34.03,-36.39
1772487302166,49.13,-25.55,-20.32
1772487302206,49.30,-20.46,-10.68
1772487302248,49.69,-17.51,-3.55
1772487302289,49.16,-16.03,0.56
1772487302332,48.84,-15.15,3.03
1772487302371,48.97,-14.83,3.61
1772487302413,49.53,-14.46,3.19
1772487302453,49.86,-14.24,2.93
1772487302495,50.10,-14.69,2.78
1772487302535,50.24,-14.96,2.69
1772487302576,50.69,-14.65,2.92
1772487302617,51.07,-14.64,3.51
1772487302658,51.30,-14.64,3.86
1772487302700,51.11,-15.11,3.99
1772487302739,51.21,-15.43,3.91
1772487302781,51.27,-15.62,3.86
1772487302822,50.94,-15.67,3.50
1772487302864,50.74,-15.69,3.28
