timestamp,x_uT,y_uT,z_uT
1772487248210,47.35,-7.58,80.72
1772487248250,47.32,-7.38,80.56
1772487248292,47.45,-7.34,80.91
1772487248333,47.52,-7.31,81.12
1772487248375,47.09,-7.55,81.04
1772487248416,47.42,-8.02,80.70
1772487248456,47.62,-8.31,80.50
1772487248497,47.81,-8.04,80.79
1772487248538,47.66,-8.02,80.84
1772487248580,47.58,-8.01,80.87
1772487248620,47.53,-8.19,80.89
1772487248662,47.50,-8.29,80.90
1772487248702,47.59,-7.85,81.03
1772487248744,47.57,-7.94,81.07
1772487248784,47.56,-8.00,81.09
1772487248825,47.56,-8.22,80.94
1772487248866,48.10,-7.84,81.05
1772487248907,48.42,-7.61,81.12
1772487248948,48.25,-7.95,80.79
1772487248989,48.15,-8.15,80.60
1772487249031,47.98,-8.20,81.01
1772487249072,47.85,-8.26,80.98
1772487249113,47.76,-8.30,80.95
1772487249153,47.60,-7.60,80.90
1772487249198,47.40,-7.47,80.87
1772487249235,47.27,-7.39,80.85
1772487249276,47.02,-7.93,80.92
1772487249317,46.87,-8.25,80.96
1772487249359,47.39,-8.11,81.19
1772487249399,47.34,-8.03,81.36
1772487249440,47.31,-7.98,81.47
1772487249481,47.52,-7.77,81.41
1772487249523,47.67,-7.61,81.18
1772487249564,47.77,-7.51,81.03
1772487249604,47.68,-7.81,81.23
1772487249645,47.63,-8.00,81.35
1772487249686,47.78,-8.36,81.14
1772487249727,48.27,-8.72,81.34
1772487249768,48.56,-8.94,81.45
1772487249809,47.54,-8.82,81.77
1772487249850,47.61,-9.15,82.32
1772487249891,47.66,-9.35,82.66
1772487249933,47.58,-9.50,83.43
1772487249973,47.53,-9.59,83.89
1772487250015,46.62,-10.52,85.11
1772487250055,45.68,-12.38,88.05
1772487250097,45.12,-13.50,89.81
1772487250136,42.71,-17.70,97.03
1772487250178,35.95,-27.42,114.67
1772487250219,31.90,-33.25,125.25
1772487250261,19.61,-54.35,-92.04
1772487250301,12.24,-67.01,-222.41
1772487250342,-14.55,-104.24,-300.63
1772487250383,-82.00,-211.49,-347.56
1772487250424,-122.47,-275.84,-375.72
1772487250465,-222.43,-314.45,-392.62
1772487250506,-282.40,-337.61,-201.08
1772487250548,-318.38,-351.51,-86.16
1772487250588,-183.94,-194.91,-47.41
1772487250629,-103.27,-100.94,-24.16
1772487250671,-61.82,-58.75,-14.46
1772487250712,-37.49,-35.58,-8.84
1772487250752,-22.89,-21.67,-5.47
1772487250794,-13.48,-13.30,-3.16
1772487250834,-7.76,-8.12,-1.85
1772487250876,-4.33,-5.02,-1.07
1772487250916,-2.45,-3.01,-0.85
1772487250957,-1.33,-1.81,-0.71
1772487250999,-0.72,-1.63,-0.30
1772487251039,-1.01,-0.80,-0.10
1772487251080,-1.19,-0.30,0.02
1772487251121,-1.11,0.11,0.09
1772487251162,-0.89,-0.08,0.01
1772487251203,-0.75,-0.19,-0.03
1772487251246,-0.67,-0.04,0.06
1772487251284,-0.62,0.05,0.12
1772487251326,-0.63,-0.26,-0.09
1772487251367,-0.20,-0.19,-0.18
1772487251408,0.06,-0.15,-0.23
1772487251449,0.22,-0.35,-0.34
1772487251490,0.20,0.19,-0.21
1772487251532,0.19,0.51,-0.12
1772487251572,0.08,0.13,0.17
1772487251614,0.01,-0.10,0.35
1772487251655,-0.06,-0.10,0.33
1772487251695,0.33,-0.17,0.28
1772487251736,0.56,-0.21,0.25
1772487251777,0.37,-0.12,-0.10
1772487251818,-0.25,-0.07,0.02
1772487251861,-0.62,-0.04,0.09
1772487251901,-0.34,-0.03,0.22
1772487251943,-0.17,-0.02,0.30
1772487251982,-0.10,-0.30,0.26
1772487252023,-0.13,-0.15,-0.01
1772487252065,-0.15,-0.05,-0.17
1772487252105,-0.20,-0.10,-0.23
