timestamp,x_uT,y_uT,z_uT
1772487831806,24.17,33.86,-50.34
1772487831846,-149.49,-122.74,-152.60
1772487831887,-253.69,-216.71,-213.96
1772487831928,-316.21,-273.09,-250.77
1772487831970,-202.60,-169.43,-105.27
1772487832010,-134.43,-96.25,-17.96
1772487832053,-95.05,-52.34,34.13
1772487832091,-221.03,-4.32,-101.92
1772487832134,-296.61,24.49,-183.55
1772487832173,-341.96,19.30,-232.52
1772487832215,-205.94,14.48,-142.85
1772487832255,-124.32,11.59,-89.05
1772487832297,-76.34,9.34,-55.54
1772487832337,-47.54,8.00,-35.43
1772487832378,-30.27,7.19,-23.37
1772487832420,-20.71,6.63,-14.99
1772487832460,-14.97,6.30,-9.96
1772487832503,-10.69,6.35,-7.19
1772487832543,-8.19,6.13,-6.18
1772487832584,-6.69,5.99,-5.57
1772487832624,-5.61,6.31,-5.29
1772487832666,-4.96,6.51,-5.12
1772487832707,-4.57,6.62,-5.02
1772487832748,-2.34,9.75,-10.92
1772487832789,-1.00,11.62,-14.45
1772487832829,7.66,38.89,-131.07
1772487832871,0.38,-119.73,-201.04
1772487832913,-3.99,-214.90,-243.02
1772487832953,-22.39,-272.00,-268.21
1772487832993,-33.43,-306.26,-283.32
1772487833036,-40.05,-326.82,-292.39
1772487833076,-19.95,-186.79,-297.83
1772487833118,-7.90,-102.77,-301.09
1772487833157,-5.72,-58.58,-184.44
1772487833199,-5.39,-32.58,-112.45
1772487833239,-5.19,-16.97,-69.25
1772487833281,-5.26,-7.72,-42.84
1772487833321,-5.30,-2.17,-27.00
1772487833363,-5.36,1.85,-16.96
1772487833403,-5.36,4.01,-11.43
1772487833444,-5.36,5.31,-8.11
1772487833486,-5.36,5.43,-5.95
1772487833527,-4.99,5.54,-4.70
1772487833568,-4.78,5.61,-3.95
1772487833609,-5.19,5.87,-3.66
1772487833650,-5.44,6.02,-3.49
1772487833691,-5.04,6.22,-3.92
1772487833733,-3.93,6.96,-5.97
1772487833772,-3.27,7.40,-7.20
1772487833814,2.92,11.92,-22.23
1772487833855,-162.25,-135.91,-135.73
1772487833895,-261.34,-224.61,-203.83
1772487833937,-320.80,-277.83,-244.70
1772487833977,-356.48,-309.76,-269.21
1772487834019,-377.88,-174.12,-283.92
1772487834060,-220.14,-99.02,-292.75
1772487834101,-125.50,-53.97,-298.05
1772487834142,-76.24,-29.63,-182.69
1772487834183,-47.74,-15.49,-111.16
1772487834223,-30.64,-7.02,-68.23
1772487834267,-20.13,-2.11,-41.66
1772487834305,-13.82,0.84,-25.72
1772487834346,-10.44,2.75,-16.16
1772487834387,-8.08,3.89,-10.01
1772487834429,-6.66,4.58,-6.32
1772487834471,-6.03,5.10,-4.39
1772487834511,-5.76,5.56,-3.48
1772487834552,-5.60,5.84,-2.93
1772487834592,-5.75,5.86,-2.64
1772487834635,-5.85,5.87,-2.47
1772487834674,-5.36,6.09,-2.94
1772487834717,-5.25,6.37,-3.34
1772487834756,-5.18,6.54,-3.59
1772487834797,-3.98,7.95,-5.98
1772487834838,3.47,24.87,-35.90
1772487834879,7.94,35.03,-53.86
1772487834920,-159.23,-122.05,35.21
1772487834962,-259.53,-216.29,88.65
1772487835003,-205.21,-272.84,-69.21
1772487835043,-117.34,-306.76,-163.92
1772487835085,-64.62,-327.12,-220.75
1772487835126,-37.89,-189.70,-254.84
1772487835168,-24.59,-110.56,-155.95
1772487835207,-16.60,-63.07,-96.62
1772487835249,-11.59,-35.31,-58.78
1772487835289,-8.59,-18.65,-36.07
1772487835330,-7.55,-8.73,-22.81
1772487835372,-7.25,-2.59,-14.45
1772487835412,-7.07,1.09,-9.44
1772487835453,-6.42,2.94,-6.39
1772487835494,-6.18,4.41,-4.23
1772487835537,-6.03,5.29,-2.93
1772487835577,-5.80,5.86,-2.08
1772487835618,-5.66,6.20,-1.56
1772487835659,-5.54,6.22,-1.90
1772487835700,-5.25,6.41,-2.48
1772487835741,-5.07,6.53,-2.82
1772487835782,-4.57,6.71,-3.56
1772487835823,-2.59,9.29,-10.00
1772487835863,-1.41,10.83,-13.86
1772487835905,16.76,56.24,-130.71
1772487835945,27.66,83.48,-200.82
1772487835987,-53.73,-92.97,-242.89
1772487836028,-37.40,-198.85,-87.97
1772487836069,-27.60,-262.37,4.99
1772487836109,-25.25,-164.01,59.37
1772487836151,-5.29,-73.18,-86.77
1772487836192,6.68,-18.68,-174.46
1772487836233,3.90,-5.47,-227.07
1772487836274,2.23,2.45,-258.64
1772487836315,-0.58,5.72,-156.48
1772487836355,-2.24,6.95,-95.10
1772487836396,-3.23,7.69,-58.27
1772487836438,-4.33,7.77,-35.15
1772487836478,-4.49,8.07,-21.28
1772487836520,-4.58,8.25,-12.96
1772487836560,-5.18,8.25,-8.46
1772487836604,-5.54,8.25,-5.75
1772487836643,-5.28,8.43,-4.01
1772487836685,-5.35,8.47,-2.88
1772487836724,-5.39,8.49,-2.21
1772487836767,-5.26,8.54,-2.50
1772487836807,-4.68,8.83,-2.22
1772487836847,-4.33,9.00,-2.06
1772487836889,-4.74,8.88,-1.83
1772487836930,-4.99,8.81,-1.70
1772487836970,-4.95,8.70,-1.74
1772487837012,-4.97,8.88,-1.32
